name,category
L'encas Des Gourmands,traiteur
Boulangerie Le B,biscuits-gateaux-patisserie
Boulangerie Le B,boulangerie
Moulin Decollogne,cereales-farines-graines
Le Chant Boréal,poissons-mollusques-crustaces
Le Chant Boréal,traiteur
La Ruche à Pain,boulangerie
Brullebaut,legumes
V'la Le Vrac,aperitif
V'la Le Vrac,cafe-the-infusions
V'la Le Vrac,cereales-farines-graines
V'la Le Vrac,condiments-huiles-epices
Reflet D'abeilles,confitures-miel-confiseries
Moulin Du Foulon,cereales-farines-graines
La Réserve Bio,aperitif
La Réserve Bio,biscuits-gateaux-patisserie
La Réserve Bio,cafe-the-infusions
La Réserve Bio,cereales-farines-graines
Safran des Aulnes,condiments-huiles-epices
Safran des Aulnes,confitures-miel-confiseries
Le Fournil Des Diablotins,
Ferme Des Mignotines,viande-charcuterie-escargots
Ferme Des Mignotines,cosmetiques
Ferme Des Mignotines,paniers-composes
Ferme Des Mignotines,produits-laitier-oeufs
Ferme Cul De Sac,produits-laitier-oeufs
Ferme Hazotte,viande-charcuterie-escargots
Ferme Hazotte,traiteur
Brasserie Belenium - Beaune,boissons-alcoolisees
Cidrerie Eclectik,boissons-alcoolisees
Cidrerie Eclectik,boissons-sans-alcool
Origine Gourmande,confitures-miel-confiseries
Ruchers De Borne,confitures-miel-confiseries
Gaec Verstraete,viande-charcuterie-escargots
Châtaigne & Co.,confitures-miel-confiseries
Châtaigne & Co.,fruits-secs
Miel Des Côteaux De L'albane,confitures-miel-confiseries
Les Abeilles De La Vouge,confitures-miel-confiseries
Les Abeilles De La Vouge,maison-entretien
Variot-apiculture,biscuits-gateaux-patisserie
Variot-apiculture,confitures-miel-confiseries
Variot-apiculture,maison-entretien
Ferme De Sous La Velle,aperitif
Ferme De Sous La Velle,viande-charcuterie-escargots
Ferme De Sous La Velle,traiteur
Gabrielle Pâtisseries,biscuits-gateaux-patisserie
Gabrielle Pâtisseries,boulangerie
Gabrielle Pâtisseries,traiteur
Gaec De La Seine,viande-charcuterie-escargots
Gaec De La Seine,condiments-huiles-epices
Chevrerie De Blancey,confitures-miel-confiseries
Chevrerie De Blancey,produits-laitier-oeufs
Fromagerie Du Petit Chêne,produits-laitier-oeufs
Oze Apiculture,confitures-miel-confiseries
Domaine Durand Loic,boissons-alcoolisees
scea dubreuil,produits-laitier-oeufs
Sheep'iie,cosmetiques
Sheep'iie,maison-entretien
Sheep'iie,hygiene
Oceane Cafe,cafe-the-infusions
Oceane Cafe,confitures-miel-confiseries
Ferme Cérès,boulangerie
Ferme Cérès,cereales-farines-graines
Ferme Cérès,legumes
Fromagerie Gaugry,produits-laitier-oeufs
Les Ruchers De Darbois,biscuits-gateaux-patisserie
Les Ruchers De Darbois,condiments-huiles-epices
Les Ruchers De Darbois,confitures-miel-confiseries
Les ânesses De La Côte Du Puits,cosmetiques
La Ferme Du Rabutin,cereales-farines-graines
La Ferme Du Rabutin,viande-charcuterie-escargots
La Ferme Du Rabutin,legumes
La Ferme Du Rabutin,produits-laitier-oeufs
Les P'tits Chap'ô,champignons
Elevage Des Alpagas De  La Tille,atelier-artisanat-culture
Elevage Des Alpagas De  La Tille,confitures-miel-confiseries
Elevage Des Alpagas De  La Tille,vetements
Elbf Cosmetique,cosmetiques
Jean-françois Blaise,animaux
Jean-françois Blaise,cereales-farines-graines
Jean-françois Blaise,condiments-huiles-epices
Le Farfadet,biscuits-gateaux-patisserie
Le Farfadet,fruits
Le Farfadet,produits-laitier-oeufs
Strega Della Veda,cosmetiques
Thibaut Gillot,fruits
Thibaut Gillot,legumes
Domaine Olivier Van Hecke,boissons-alcoolisees
Armand Heitz,aperitif
Armand Heitz,boissons-alcoolisees
Armand Heitz,viande-charcuterie-escargots
Armand Heitz,confitures-miel-confiseries
Fred Traiteur,traiteur
Laquina (lycée Agricole De La Barotte),cosmetiques
Laquina (lycée Agricole De La Barotte),hygiene
Le Potager D'ida Et Bertrand,legumes
Le Potager D'ida Et Bertrand,paniers-composes
Le Potager D'ida Et Bertrand,plantes-aromatiques-medicinales
Le Potager D'ida Et Bertrand,produits-laitier-oeufs
Le Potager De La Borde,fleurs-arbres
Le Potager De La Borde,fruits
Le Potager De La Borde,legumes
Le Potager De La Borde,plants-graines
Scea Etablissements Marchand,fleurs-arbres
Earl La Grange Aux Volailles,volailles-gibiers
Earl Apidae,confitures-miel-confiseries
F . Malin,traiteur
La Boite à T'oeufs,cereales-farines-graines
Savonnerie Badiane,atelier-artisanat-culture
Savonnerie Badiane,cours-visites
Savonnerie Badiane,cosmetiques
Savonnerie Badiane,hygiene
Domaine   Bougaud,boissons-alcoolisees
G'apicole - Les Ruches De La Courtavaux,confitures-miel-confiseries
Earl Des Grandes Vignes,cereales-farines-graines
Domaine Du Clos Des Poulettes,boissons-alcoolisees
Domaine Gachot-monot,boissons-alcoolisees
Gougere & Meurette Traiteur,aperitif
Gougere & Meurette Traiteur,condiments-huiles-epices
Gougere & Meurette Traiteur,traiteur
Domaine Philippe Robert,boissons-alcoolisees
Epatantes de Bourgogne,cereales-farines-graines
Epatantes de Bourgogne,traiteur
Brasserie Elixkir,
Fromagerie De Dampierre-en-montagne,produits-laitier-oeufs
Brasserie Des 38 Pintes 1/2,boissons-alcoolisees
Brasserie Des 38 Pintes 1/2,boissons-sans-alcool
Coeur De Bourgogne,viande-charcuterie-escargots
Earl De La Creusotte,viande-charcuterie-escargots
Ferme Du Poiset,produits-laitier-oeufs
A Fleur de Miel,confitures-miel-confiseries
Au Gramme Près,aperitif
Au Gramme Près,biscuits-gateaux-patisserie
Au Gramme Près,boissons-alcoolisees
Au Gramme Près,boissons-sans-alcool
De Point En Point,atelier-artisanat-culture
De Point En Point,hygiene
Druydès,animaux
Druydès,cosmetiques
Envie De Pâtes,biscuits-gateaux-patisserie
Envie De Pâtes,cereales-farines-graines
Envie De Pâtes,traiteur
Fruimalin,biscuits-gateaux-patisserie
Fruimalin,boissons-sans-alcool
Fruimalin,confitures-miel-confiseries
Futura Food,aperitif
La Ferme De Bray,cereales-farines-graines
La Ferme De Bray,viande-charcuterie-escargots
La Ferme De Bray,condiments-huiles-epices
La Ferme De Bray,legumes
Le Coq En Pâte,traiteur
Le Goût Des Sens,cafe-the-infusions
Le Potager Des Ducs,legumes
Les Douceurs Du Colibri,biscuits-gateaux-patisserie
Miellerie Degrâce,boissons-alcoolisees
Miellerie Degrâce,complements-alimentaires
Miellerie Degrâce,confitures-miel-confiseries
Le Jardin Des Illottes,legumes
Rucher De La Forêt,condiments-huiles-epices
Rucher De La Forêt,confitures-miel-confiseries
Rucher De La Forêt,champignons
Ferme De La Goutte D'or,cereales-farines-graines
Ferme De La Goutte D'or,condiments-huiles-epices
Earl De La Vallée Du Serein,legumes
L'escargot De La Coquille,viande-charcuterie-escargots
Ferme Des Quintefeuilles,produits-laitier-oeufs
Ferme Du Mont Lassois,cereales-farines-graines
Ferme Du Mont Lassois,condiments-huiles-epices
Ferme Du Mont Lassois,produits-laitier-oeufs
Ferme la Bussière,viande-charcuterie-escargots
La Ferme Du Clos Simonin,viande-charcuterie-escargots
A Edelweiss,complements-alimentaires
A Edelweiss,condiments-huiles-epices
A Edelweiss,cosmetiques
A Edelweiss,fleurs-arbres
Ruchers Vergers D’alésia,boissons-sans-alcool
Ruchers Vergers D’alésia,confitures-miel-confiseries
La Ferme Du Faubourg,foie-gras-confits
La Ferme Du Faubourg,volailles-gibiers
Bergerie Du Bas De Gouey,viande-charcuterie-escargots
Le Rhubarbiculteur Des Hautes Côtes,legumes
La Petite Semeuse,legumes
Pascale Allaguillaume,legumes
Pascale Allaguillaume,paniers-composes
Pascale Allaguillaume,plants-graines
La Ferme De Bâlon,animaux
La Ferme De Bâlon,atelier-artisanat-culture
La Ferme De Bâlon,biscuits-gateaux-patisserie
La Ferme De Bâlon,viande-charcuterie-escargots
Ferme Du Pontot,produits-laitier-oeufs
Husson Traiteur,aperitif
Husson Traiteur,biscuits-gateaux-patisserie
Husson Traiteur,traiteur
Le Noir De Bourgogne,viande-charcuterie-escargots
Le Noir De Bourgogne,traiteur
Earl De Borgirault,
Laurence Bruey,champignons
Le Potager De La Charme,legumes
Ferme De La Petite Montagne,boissons-sans-alcool
Ferme De La Petite Montagne,cereales-farines-graines
Ferme De La Petite Montagne,condiments-huiles-epices
Ferme De La Petite Montagne,confitures-miel-confiseries
